"Precip_day","dayDate","vehicule_1_cadmin","vehicle_2_cadmin","usager_1_grav","Long","Lat","DayOfWeek","Day","Month","Year","Hour","FourHours","adresse","carr","year_quarter","MonthYear","TempMin","TempMax","Precip","DureeEnsol","Temp_max","Temp_min","Freq"
1.4,2013-05-21,"Vélo","Aucun","Aucun Blessé",2.367502,48.880676,"Mardi",21,"Mai",2013,10,"08H-12H","187, QUAI DE VALMY",NA,"2013 Q2","Mai 2013",9.1,16.7,111.2,114.6,12.7,11.2,277
1.4,2012-06-25,"Voiture","Deux Roues 50-125","Aucun Blessé",2.279891,48.842943,"Lundi",25,"Juin",2012,9,"08H-12H","55, RUE DES CEVENNES","1_75115_1164","2012 Q2","Juin 2012",13.6,21.8,99.5,145.9,20.8,13,277
1.4,2013-10-31,"Voiture","Vélo","Aucun Blessé",2.381131,48.838469,"Jeudi",31,"Octobre",2013,10,"08H-12H","77, RUE DE BERCY",NA,"2013 Q4","Octobre 2013",11.7,17.8,43.4,96.5,14.6,7.1,277
1.4,2013-01-28,"Deux Roues > 125","Aucun","Blessé Léger",2.327157,48.883979,"Lundi",28,"Janvier",2013,8,"08H-12H","BPI ASNIERES CLICHY",NA,"2013 Q1","Janvier 2013",2.4,5.9,42.2,33.3,11.2,5.4,277
1.4,2013-03-13,"Voiture","Deux Roues 50-125","Aucun Blessé",2.320536,48.888007,"Mardi",12,"Mars",2013,13,"12H-16H","RUE LEGENDRE","1_75117_3420","2013 Q1","Mars 2013",3,8.7,36.6,98.7,4.3,-3.8,277
1.4,2013-05-21,"Voiture","Vélo","Aucun Blessé",2.304316,48.870842,"Lundi",20,"Mai",2013,16,"16H-20H","AVENUE DES CHAMPS ELYSEE","1_75108_3499","2013 Q2","Mai 2013",9.1,16.7,111.2,114.6,12.7,11.2,277
1.4,2013-10-31,"Deux Roues > 125","Voiture","Blessé Léger",2.386918,48.898863,"Mercredi",30,"Octobre",2013,22,"20H-00H","PORTE DE LA VILLETTE","1_75119_9895","2013 Q4","Octobre 2013",11.7,17.8,43.4,96.5,14.6,7.1,277
1.4,2013-04-04,"Voiture","Deux Roues 50-125","Aucun Blessé",2.341931,48.884217,"Jeudi",4,"Avril",2013,9,"08H-12H","6, RUE TARDIEU","1_75118_6015","2013 Q2","Avril 2013",6.9,15.4,29.7,169.4,9.1,2.2,277
1.4,2012-10-15,"Voiture","Aucun","Blessé Léger",2.334804,48.898432,"Lundi",15,"Octobre",2012,8,"08H-12H","06, RUE JEAN HENRI FABRE",NA,"2012 Q4","Octobre 2012",10.1,16,86.7,101.8,15.2,7.8,277
1.4,2012-04-27,"Voiture","Voiture","Aucun Blessé",2.296853,48.872117,"Jeudi",26,"Avril",2012,16,"16H-20H","80, AVENUE MARCEAU",NA,"2012 Q2","Avril 2012",6.4,14.2,63.6,133.9,15,10.3,277
